message,amount,sender_type,label
Unauthorized transaction detected. Confirm now,39498,unknown,scam
You have received cashback. Claim now,26557,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,12846,unknown,scam
Paid ₹2111 to merchant successfully,2111,bank,safe
KYC expired. Update details to avoid UPI suspension,31139,unknown,scam
UPI payment of ₹2456 completed,2456,bank,safe
Paid ₹2249 to merchant successfully,2249,merchant,safe
UPI reward pending. Click to receive,20614,unknown,scam
₹2634 received via UPI,2634,merchant,safe
Money received from Amit,2750,merchant,safe
UPI reward pending. Click to receive,41574,unknown,scam
₹4966 received via UPI,4966,bank,safe
UPI payment of ₹4149 completed,4149,merchant,safe
Paid ₹1699 to merchant successfully,1699,merchant,safe
UPI reward pending. Click to receive,34360,unknown,scam
UPI payment of ₹4883 completed,4883,bank,safe
Your UPI account is temporarily blocked. Verify immediately,33919,unknown,scam
UPI reward pending. Click to receive,17942,unknown,scam
UPI payment of ₹3674 completed,3674,bank,safe
KYC expired. Update details to avoid UPI suspension,33619,unknown,scam
UPI payment of ₹4277 completed,4277,merchant,safe
Transaction successful. Ref ID generated,1504,merchant,safe
UPI payment of ₹1205 completed,1205,merchant,safe
Transaction successful. Ref ID generated,4745,bank,safe
Refund failed. Click the link to re-initiate UPI payment,16084,unknown,scam
Payment reversal failed. Act immediately,32563,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,44816,unknown,scam
You have received cashback. Claim now,12281,unknown,scam
Transaction successful. Ref ID generated,2855,merchant,safe
UPI reward pending. Click to receive,32051,unknown,scam
UPI payment of ₹3557 completed,3557,merchant,safe
Unauthorized transaction detected. Confirm now,9647,unknown,scam
KYC expired. Update details to avoid UPI suspension,38084,unknown,scam
Payment of ₹2930 debited from account,2930,bank,safe
Transaction successful. Ref ID generated,922,bank,safe
UPI payment of ₹3137 completed,3137,bank,safe
KYC expired. Update details to avoid UPI suspension,31572,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,2801,unknown,scam
₹91 received via UPI,91,bank,safe
You have received cashback. Claim now,40156,unknown,scam
UPI payment of ₹953 completed,953,bank,safe
₹269 received via UPI,269,merchant,safe
Payment of ₹4299 debited from account,4299,bank,safe
You have received cashback. Claim now,44823,unknown,scam
Payment of ₹1821 debited from account,1821,bank,safe
Payment of ₹2235 debited from account,2235,bank,safe
Transaction successful. Ref ID generated,3733,bank,safe
Paid ₹3109 to merchant successfully,3109,merchant,safe
UPI payment of ₹2044 completed,2044,merchant,safe
UPI payment of ₹1745 completed,1745,merchant,safe
₹2862 received via UPI,2862,merchant,safe
Paid ₹3711 to merchant successfully,3711,merchant,safe
Money received from Rahul,2237,bank,safe
UPI reward pending. Click to receive,42570,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,27212,unknown,scam
Payment of ₹2745 debited from account,2745,bank,safe
Payment of ₹690 debited from account,690,merchant,safe
Transaction successful. Ref ID generated,782,bank,safe
Paid ₹3332 to merchant successfully,3332,merchant,safe
UPI payment of ₹4380 completed,4380,merchant,safe
₹2175 received via UPI,2175,bank,safe
Your UPI account is temporarily blocked. Verify immediately,48271,unknown,scam
Payment reversal failed. Act immediately,35999,unknown,scam
You have received cashback. Claim now,12897,unknown,scam
UPI reward pending. Click to receive,2929,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,30310,unknown,scam
UPI payment of ₹3176 completed,3176,merchant,safe
Money received from Amit,3035,merchant,safe
Unauthorized transaction detected. Confirm now,21566,unknown,scam
₹1734 received via UPI,1734,bank,safe
UPI payment of ₹3137 completed,3137,bank,safe
Transaction successful. Ref ID generated,4882,bank,safe
UPI payment of ₹3641 completed,3641,merchant,safe
Money received from Amit,4353,bank,safe
Transaction successful. Ref ID generated,4007,merchant,safe
Money received from Rohit,4363,merchant,safe
UPI reward pending. Click to receive,3471,unknown,scam
Transaction successful. Ref ID generated,2794,bank,safe
KYC expired. Update details to avoid UPI suspension,38531,unknown,scam
UPI payment of ₹3924 completed,3924,merchant,safe
₹1509 received via UPI,1509,bank,safe
Money received from Ankit,2165,bank,safe
UPI reward pending. Click to receive,2352,unknown,scam
Payment of ₹2478 debited from account,2478,bank,safe
UPI payment of ₹702 completed,702,merchant,safe
Money received from Ankit,3011,bank,safe
UPI payment of ₹66 completed,66,bank,safe
Transaction successful. Ref ID generated,555,bank,safe
Transaction successful. Ref ID generated,3993,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,23130,unknown,scam
₹4800 received via UPI,4800,bank,safe
Payment of ₹4144 debited from account,4144,merchant,safe
Unauthorized transaction detected. Confirm now,46122,unknown,scam
Paid ₹1740 to merchant successfully,1740,merchant,safe
UPI payment of ₹1230 completed,1230,merchant,safe
Unauthorized transaction detected. Confirm now,19993,unknown,scam
Transaction successful. Ref ID generated,3222,bank,safe
Your UPI account is temporarily blocked. Verify immediately,42119,unknown,scam
Money received from Ankit,711,merchant,safe
₹491 received via UPI,491,bank,safe
UPI payment of ₹4450 completed,4450,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,12652,unknown,scam
UPI payment of ₹644 completed,644,bank,safe
Unauthorized transaction detected. Confirm now,9215,unknown,scam
₹2194 received via UPI,2194,bank,safe
Paid ₹938 to merchant successfully,938,merchant,safe
UPI payment of ₹1248 completed,1248,bank,safe
Payment of ₹222 debited from account,222,merchant,safe
KYC expired. Update details to avoid UPI suspension,30297,unknown,scam
Unauthorized transaction detected. Confirm now,32058,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,31138,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,35224,unknown,scam
You have received cashback. Claim now,24472,unknown,scam
Unauthorized transaction detected. Confirm now,25938,unknown,scam
UPI payment of ₹1486 completed,1486,merchant,safe
Paid ₹316 to merchant successfully,316,bank,safe
Your UPI account is temporarily blocked. Verify immediately,44136,unknown,scam
Money received from Rohit,739,bank,safe
Paid ₹3324 to merchant successfully,3324,merchant,safe
Transaction successful. Ref ID generated,3007,merchant,safe
Unauthorized transaction detected. Confirm now,44087,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,6576,unknown,scam
₹4392 received via UPI,4392,bank,safe
KYC expired. Update details to avoid UPI suspension,24064,unknown,scam
KYC expired. Update details to avoid UPI suspension,7712,unknown,scam
Transaction successful. Ref ID generated,4127,bank,safe
Refund failed. Click the link to re-initiate UPI payment,16902,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,37612,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,22860,unknown,scam
KYC expired. Update details to avoid UPI suspension,9981,unknown,scam
Money received from Amit,680,merchant,safe
You have received cashback. Claim now,12213,unknown,scam
You have received cashback. Claim now,46446,unknown,scam
UPI payment of ₹3975 completed,3975,bank,safe
₹3337 received via UPI,3337,merchant,safe
₹4265 received via UPI,4265,merchant,safe
Paid ₹2368 to merchant successfully,2368,bank,safe
Money received from Rohit,4488,bank,safe
Transaction successful. Ref ID generated,2186,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,28553,unknown,scam
Unauthorized transaction detected. Confirm now,4770,unknown,scam
Transaction successful. Ref ID generated,2297,merchant,safe
Money received from Sneha,731,merchant,safe
Unauthorized transaction detected. Confirm now,20968,unknown,scam
You have received cashback. Claim now,24717,unknown,scam
Money received from Ankit,2779,merchant,safe
₹1676 received via UPI,1676,merchant,safe
Transaction successful. Ref ID generated,2117,bank,safe
UPI reward pending. Click to receive,8664,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,2964,unknown,scam
Payment reversal failed. Act immediately,42716,unknown,scam
₹3833 received via UPI,3833,merchant,safe
Payment reversal failed. Act immediately,23383,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,14106,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,8420,unknown,scam
Payment of ₹4550 debited from account,4550,merchant,safe
KYC expired. Update details to avoid UPI suspension,18895,unknown,scam
Money received from Priya,1702,merchant,safe
Money received from Priya,1498,bank,safe
Money received from Rohit,536,merchant,safe
KYC expired. Update details to avoid UPI suspension,13677,unknown,scam
₹1554 received via UPI,1554,bank,safe
Unauthorized transaction detected. Confirm now,42563,unknown,scam
Unauthorized transaction detected. Confirm now,17074,unknown,scam
Payment of ₹1733 debited from account,1733,bank,safe
Refund failed. Click the link to re-initiate UPI payment,39109,unknown,scam
KYC expired. Update details to avoid UPI suspension,21398,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,34537,unknown,scam
₹3488 received via UPI,3488,bank,safe
Payment reversal failed. Act immediately,40211,unknown,scam
UPI reward pending. Click to receive,3255,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,6459,unknown,scam
UPI reward pending. Click to receive,32904,unknown,scam
UPI reward pending. Click to receive,14538,unknown,scam
Paid ₹2177 to merchant successfully,2177,merchant,safe
You have received cashback. Claim now,15455,unknown,scam
Payment reversal failed. Act immediately,44536,unknown,scam
₹1460 received via UPI,1460,bank,safe
Transaction successful. Ref ID generated,2824,bank,safe
Money received from Ankit,3120,bank,safe
Money received from Amit,1184,merchant,safe
You have received cashback. Claim now,37056,unknown,scam
Payment of ₹2998 debited from account,2998,bank,safe
You have received cashback. Claim now,25640,unknown,scam
Money received from Rohit,949,bank,safe
Your UPI account is temporarily blocked. Verify immediately,23278,unknown,scam
Transaction successful. Ref ID generated,1902,bank,safe
You have received cashback. Claim now,43377,unknown,scam
UPI reward pending. Click to receive,13929,unknown,scam
UPI payment of ₹4675 completed,4675,merchant,safe
Paid ₹2429 to merchant successfully,2429,bank,safe
Transaction successful. Ref ID generated,3715,merchant,safe
₹3317 received via UPI,3317,merchant,safe
Unauthorized transaction detected. Confirm now,33909,unknown,scam
UPI reward pending. Click to receive,8646,unknown,scam
Transaction successful. Ref ID generated,2500,merchant,safe
Money received from Rahul,1096,bank,safe
Refund failed. Click the link to re-initiate UPI payment,20738,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,16106,unknown,scam
Transaction successful. Ref ID generated,4315,bank,safe
UPI reward pending. Click to receive,26631,unknown,scam
UPI payment of ₹1486 completed,1486,merchant,safe
UPI reward pending. Click to receive,48309,unknown,scam
Payment of ₹831 debited from account,831,bank,safe
Payment of ₹139 debited from account,139,merchant,safe
₹4912 received via UPI,4912,bank,safe
Refund failed. Click the link to re-initiate UPI payment,14230,unknown,scam
Payment of ₹1661 debited from account,1661,bank,safe
Money received from Sneha,4272,bank,safe
₹263 received via UPI,263,merchant,safe
Money received from Amit,2498,merchant,safe
₹106 received via UPI,106,merchant,safe
UPI reward pending. Click to receive,41679,unknown,scam
Paid ₹912 to merchant successfully,912,bank,safe
Unauthorized transaction detected. Confirm now,9658,unknown,scam
Paid ₹1788 to merchant successfully,1788,merchant,safe
Money received from Ankit,4202,bank,safe
You have received cashback. Claim now,24723,unknown,scam
Money received from Priya,1439,bank,safe
Your UPI account is temporarily blocked. Verify immediately,33994,unknown,scam
UPI reward pending. Click to receive,30497,unknown,scam
UPI reward pending. Click to receive,49497,unknown,scam
You have received cashback. Claim now,48771,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,26804,unknown,scam
₹3251 received via UPI,3251,merchant,safe
Unauthorized transaction detected. Confirm now,25902,unknown,scam
You have received cashback. Claim now,18340,unknown,scam
You have received cashback. Claim now,12939,unknown,scam
KYC expired. Update details to avoid UPI suspension,20689,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,23667,unknown,scam
₹3682 received via UPI,3682,merchant,safe
UPI payment of ₹967 completed,967,merchant,safe
Payment reversal failed. Act immediately,8166,unknown,scam
You have received cashback. Claim now,27676,unknown,scam
Payment reversal failed. Act immediately,26459,unknown,scam
UPI reward pending. Click to receive,37534,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,46114,unknown,scam
₹1712 received via UPI,1712,merchant,safe
Money received from Amit,1146,bank,safe
₹4439 received via UPI,4439,bank,safe
Payment of ₹2973 debited from account,2973,merchant,safe
Paid ₹118 to merchant successfully,118,bank,safe
Paid ₹4502 to merchant successfully,4502,merchant,safe
Transaction successful. Ref ID generated,1121,merchant,safe
KYC expired. Update details to avoid UPI suspension,37560,unknown,scam
Payment of ₹2674 debited from account,2674,merchant,safe
You have received cashback. Claim now,37076,unknown,scam
Money received from Rohit,4445,merchant,safe
UPI reward pending. Click to receive,20498,unknown,scam
Transaction successful. Ref ID generated,2181,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,19960,unknown,scam
Unauthorized transaction detected. Confirm now,32447,unknown,scam
Money received from Ankit,2450,merchant,safe
Payment of ₹3601 debited from account,3601,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,10236,unknown,scam
₹3329 received via UPI,3329,bank,safe
Refund failed. Click the link to re-initiate UPI payment,11652,unknown,scam
Transaction successful. Ref ID generated,1999,bank,safe
Refund failed. Click the link to re-initiate UPI payment,7306,unknown,scam
UPI reward pending. Click to receive,14561,unknown,scam
Payment of ₹4212 debited from account,4212,merchant,safe
Payment of ₹757 debited from account,757,merchant,safe
You have received cashback. Claim now,35361,unknown,scam
KYC expired. Update details to avoid UPI suspension,20073,unknown,scam
Payment of ₹1979 debited from account,1979,bank,safe
UPI reward pending. Click to receive,42068,unknown,scam
Payment of ₹3290 debited from account,3290,merchant,safe
Transaction successful. Ref ID generated,4859,bank,safe
Unauthorized transaction detected. Confirm now,33844,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,13435,unknown,scam
Unauthorized transaction detected. Confirm now,45206,unknown,scam
Money received from Rohit,3437,bank,safe
Refund failed. Click the link to re-initiate UPI payment,7425,unknown,scam
₹1620 received via UPI,1620,merchant,safe
You have received cashback. Claim now,43127,unknown,scam
You have received cashback. Claim now,11837,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,44649,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,48280,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,14009,unknown,scam
Payment of ₹3231 debited from account,3231,bank,safe
Payment reversal failed. Act immediately,43375,unknown,scam
UPI reward pending. Click to receive,44000,unknown,scam
Money received from Amit,886,merchant,safe
Payment of ₹2363 debited from account,2363,bank,safe
Payment reversal failed. Act immediately,25621,unknown,scam
Paid ₹427 to merchant successfully,427,bank,safe
Paid ₹521 to merchant successfully,521,bank,safe
Your UPI account is temporarily blocked. Verify immediately,18737,unknown,scam
UPI reward pending. Click to receive,40134,unknown,scam
You have received cashback. Claim now,2489,unknown,scam
Payment reversal failed. Act immediately,23181,unknown,scam
UPI payment of ₹1327 completed,1327,bank,safe
₹395 received via UPI,395,bank,safe
KYC expired. Update details to avoid UPI suspension,33742,unknown,scam
Transaction successful. Ref ID generated,1013,bank,safe
Refund failed. Click the link to re-initiate UPI payment,3811,unknown,scam
Payment reversal failed. Act immediately,20913,unknown,scam
₹1427 received via UPI,1427,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,11514,unknown,scam
You have received cashback. Claim now,39514,unknown,scam
Unauthorized transaction detected. Confirm now,8997,unknown,scam
Paid ₹4636 to merchant successfully,4636,merchant,safe
Money received from Ankit,4485,merchant,safe
Paid ₹3374 to merchant successfully,3374,bank,safe
Payment of ₹794 debited from account,794,merchant,safe
UPI reward pending. Click to receive,48235,unknown,scam
Money received from Ankit,789,bank,safe
Transaction successful. Ref ID generated,3034,merchant,safe
Unauthorized transaction detected. Confirm now,9564,unknown,scam
Payment of ₹3382 debited from account,3382,bank,safe
Transaction successful. Ref ID generated,395,merchant,safe
UPI payment of ₹1368 completed,1368,merchant,safe
Payment of ₹2011 debited from account,2011,bank,safe
Payment of ₹3170 debited from account,3170,bank,safe
KYC expired. Update details to avoid UPI suspension,35709,unknown,scam
You have received cashback. Claim now,14467,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,4584,unknown,scam
UPI reward pending. Click to receive,26589,unknown,scam
UPI payment of ₹3910 completed,3910,bank,safe
UPI payment of ₹2148 completed,2148,bank,safe
Payment of ₹1558 debited from account,1558,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,37407,unknown,scam
Transaction successful. Ref ID generated,2296,merchant,safe
You have received cashback. Claim now,2505,unknown,scam
KYC expired. Update details to avoid UPI suspension,48774,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,30137,unknown,scam
Payment of ₹711 debited from account,711,bank,safe
₹1155 received via UPI,1155,bank,safe
Your UPI account is temporarily blocked. Verify immediately,21556,unknown,scam
UPI reward pending. Click to receive,17301,unknown,scam
Payment of ₹1821 debited from account,1821,bank,safe
Payment of ₹4283 debited from account,4283,merchant,safe
₹881 received via UPI,881,bank,safe
You have received cashback. Claim now,31411,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,49782,unknown,scam
Transaction successful. Ref ID generated,2265,bank,safe
KYC expired. Update details to avoid UPI suspension,43226,unknown,scam
Payment reversal failed. Act immediately,9302,unknown,scam
UPI payment of ₹701 completed,701,merchant,safe
Paid ₹1939 to merchant successfully,1939,bank,safe
You have received cashback. Claim now,25216,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,24691,unknown,scam
KYC expired. Update details to avoid UPI suspension,10368,unknown,scam
Paid ₹4156 to merchant successfully,4156,bank,safe
Payment of ₹2020 debited from account,2020,bank,safe
KYC expired. Update details to avoid UPI suspension,6490,unknown,scam
Unauthorized transaction detected. Confirm now,28700,unknown,scam
Transaction successful. Ref ID generated,4187,merchant,safe
UPI reward pending. Click to receive,16511,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,47467,unknown,scam
Paid ₹1982 to merchant successfully,1982,bank,safe
Payment of ₹1822 debited from account,1822,merchant,safe
UPI reward pending. Click to receive,11199,unknown,scam
You have received cashback. Claim now,33014,unknown,scam
UPI reward pending. Click to receive,8994,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,48927,unknown,scam
Paid ₹103 to merchant successfully,103,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,15757,unknown,scam
UPI reward pending. Click to receive,36703,unknown,scam
UPI reward pending. Click to receive,17928,unknown,scam
UPI payment of ₹334 completed,334,merchant,safe
Money received from Ankit,1530,bank,safe
Refund failed. Click the link to re-initiate UPI payment,40331,unknown,scam
₹1030 received via UPI,1030,bank,safe
UPI payment of ₹1639 completed,1639,bank,safe
Your UPI account is temporarily blocked. Verify immediately,20414,unknown,scam
Unauthorized transaction detected. Confirm now,7003,unknown,scam
UPI payment of ₹3798 completed,3798,bank,safe
Paid ₹1825 to merchant successfully,1825,merchant,safe
UPI payment of ₹2714 completed,2714,merchant,safe
KYC expired. Update details to avoid UPI suspension,37565,unknown,scam
KYC expired. Update details to avoid UPI suspension,6915,unknown,scam
UPI payment of ₹4341 completed,4341,bank,safe
₹3214 received via UPI,3214,bank,safe
UPI payment of ₹2518 completed,2518,merchant,safe
Payment of ₹3111 debited from account,3111,merchant,safe
Unauthorized transaction detected. Confirm now,25658,unknown,scam
UPI payment of ₹729 completed,729,merchant,safe
UPI reward pending. Click to receive,7678,unknown,scam
Transaction successful. Ref ID generated,2590,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,25112,unknown,scam
₹2463 received via UPI,2463,bank,safe
Payment of ₹853 debited from account,853,bank,safe
Unauthorized transaction detected. Confirm now,11766,unknown,scam
UPI reward pending. Click to receive,23371,unknown,scam
₹1684 received via UPI,1684,merchant,safe
Payment of ₹1327 debited from account,1327,bank,safe
Transaction successful. Ref ID generated,2099,bank,safe
Transaction successful. Ref ID generated,3364,bank,safe
Money received from Sneha,4076,bank,safe
Paid ₹3774 to merchant successfully,3774,merchant,safe
Payment of ₹1214 debited from account,1214,bank,safe
₹1884 received via UPI,1884,merchant,safe
KYC expired. Update details to avoid UPI suspension,23038,unknown,scam
UPI payment of ₹2359 completed,2359,bank,safe
Transaction successful. Ref ID generated,966,merchant,safe
Payment reversal failed. Act immediately,19784,unknown,scam
UPI reward pending. Click to receive,24477,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,18203,unknown,scam
Payment reversal failed. Act immediately,10211,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,30606,unknown,scam
UPI reward pending. Click to receive,13901,unknown,scam
Payment of ₹4457 debited from account,4457,merchant,safe
₹1820 received via UPI,1820,bank,safe
Transaction successful. Ref ID generated,2198,bank,safe
Money received from Rohit,259,merchant,safe
Unauthorized transaction detected. Confirm now,17341,unknown,scam
Unauthorized transaction detected. Confirm now,8464,unknown,scam
KYC expired. Update details to avoid UPI suspension,44755,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,3996,unknown,scam
Unauthorized transaction detected. Confirm now,9158,unknown,scam
UPI payment of ₹124 completed,124,merchant,safe
Paid ₹2514 to merchant successfully,2514,bank,safe
Payment reversal failed. Act immediately,43636,unknown,scam
₹886 received via UPI,886,bank,safe
You have received cashback. Claim now,19291,unknown,scam
You have received cashback. Claim now,28941,unknown,scam
Payment of ₹2395 debited from account,2395,merchant,safe
UPI reward pending. Click to receive,47013,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,31819,unknown,scam
UPI reward pending. Click to receive,33264,unknown,scam
UPI payment of ₹1596 completed,1596,bank,safe
Payment of ₹4461 debited from account,4461,merchant,safe
Paid ₹914 to merchant successfully,914,bank,safe
Unauthorized transaction detected. Confirm now,31431,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,28372,unknown,scam
Transaction successful. Ref ID generated,4073,merchant,safe
Transaction successful. Ref ID generated,2452,bank,safe
₹3456 received via UPI,3456,bank,safe
Payment of ₹4929 debited from account,4929,merchant,safe
Payment of ₹295 debited from account,295,bank,safe
Your UPI account is temporarily blocked. Verify immediately,3556,unknown,scam
Transaction successful. Ref ID generated,3691,bank,safe
You have received cashback. Claim now,15214,unknown,scam
UPI reward pending. Click to receive,33319,unknown,scam
KYC expired. Update details to avoid UPI suspension,24339,unknown,scam
KYC expired. Update details to avoid UPI suspension,18516,unknown,scam
Unauthorized transaction detected. Confirm now,12974,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,2415,unknown,scam
UPI payment of ₹2974 completed,2974,bank,safe
Money received from Ankit,3941,merchant,safe
KYC expired. Update details to avoid UPI suspension,5333,unknown,scam
Paid ₹3597 to merchant successfully,3597,merchant,safe
KYC expired. Update details to avoid UPI suspension,47973,unknown,scam
You have received cashback. Claim now,16167,unknown,scam
UPI payment of ₹1313 completed,1313,bank,safe
₹2827 received via UPI,2827,merchant,safe
Paid ₹3391 to merchant successfully,3391,bank,safe
Payment reversal failed. Act immediately,43477,unknown,scam
Transaction successful. Ref ID generated,2825,merchant,safe
₹4123 received via UPI,4123,merchant,safe
₹3904 received via UPI,3904,bank,safe
₹2829 received via UPI,2829,merchant,safe
UPI payment of ₹1717 completed,1717,merchant,safe
Paid ₹178 to merchant successfully,178,bank,safe
Paid ₹2469 to merchant successfully,2469,merchant,safe
Money received from Rahul,3384,merchant,safe
Money received from Priya,4600,merchant,safe
Transaction successful. Ref ID generated,776,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,9160,unknown,scam
₹2740 received via UPI,2740,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,46964,unknown,scam
KYC expired. Update details to avoid UPI suspension,24502,unknown,scam
Payment reversal failed. Act immediately,21097,unknown,scam
KYC expired. Update details to avoid UPI suspension,20903,unknown,scam
Money received from Priya,3706,bank,safe
UPI reward pending. Click to receive,34220,unknown,scam
Unauthorized transaction detected. Confirm now,45021,unknown,scam
Transaction successful. Ref ID generated,2625,bank,safe
Transaction successful. Ref ID generated,4128,merchant,safe
KYC expired. Update details to avoid UPI suspension,47263,unknown,scam
Unauthorized transaction detected. Confirm now,17984,unknown,scam
UPI payment of ₹2987 completed,2987,merchant,safe
Payment reversal failed. Act immediately,9311,unknown,scam
Payment reversal failed. Act immediately,9077,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,13604,unknown,scam
Paid ₹2832 to merchant successfully,2832,bank,safe
Payment of ₹1273 debited from account,1273,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,27310,unknown,scam
You have received cashback. Claim now,29548,unknown,scam
UPI reward pending. Click to receive,30205,unknown,scam
Paid ₹1004 to merchant successfully,1004,merchant,safe
₹4354 received via UPI,4354,bank,safe
Transaction successful. Ref ID generated,3987,bank,safe
KYC expired. Update details to avoid UPI suspension,49708,unknown,scam
Transaction successful. Ref ID generated,2200,merchant,safe
UPI reward pending. Click to receive,34176,unknown,scam
Money received from Rahul,4204,bank,safe
Transaction successful. Ref ID generated,975,merchant,safe
₹69 received via UPI,69,bank,safe
Payment of ₹998 debited from account,998,merchant,safe
Money received from Ankit,4227,bank,safe
You have received cashback. Claim now,47656,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,18986,unknown,scam
₹2957 received via UPI,2957,merchant,safe
₹634 received via UPI,634,bank,safe
KYC expired. Update details to avoid UPI suspension,10859,unknown,scam
Transaction successful. Ref ID generated,247,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,43590,unknown,scam
₹2223 received via UPI,2223,merchant,safe
₹521 received via UPI,521,merchant,safe
Payment of ₹660 debited from account,660,bank,safe
KYC expired. Update details to avoid UPI suspension,36078,unknown,scam
UPI payment of ₹3405 completed,3405,merchant,safe
Paid ₹3127 to merchant successfully,3127,bank,safe
Refund failed. Click the link to re-initiate UPI payment,13476,unknown,scam
KYC expired. Update details to avoid UPI suspension,35937,unknown,scam
Unauthorized transaction detected. Confirm now,10013,unknown,scam
KYC expired. Update details to avoid UPI suspension,14194,unknown,scam
Unauthorized transaction detected. Confirm now,16232,unknown,scam
Transaction successful. Ref ID generated,3848,bank,safe
Payment reversal failed. Act immediately,17126,unknown,scam
Transaction successful. Ref ID generated,3004,merchant,safe
Payment of ₹343 debited from account,343,bank,safe
UPI reward pending. Click to receive,4761,unknown,scam
KYC expired. Update details to avoid UPI suspension,43574,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,41351,unknown,scam
₹1600 received via UPI,1600,merchant,safe
Unauthorized transaction detected. Confirm now,41472,unknown,scam
Payment of ₹734 debited from account,734,bank,safe
UPI reward pending. Click to receive,6049,unknown,scam
You have received cashback. Claim now,43657,unknown,scam
UPI reward pending. Click to receive,24698,unknown,scam
Payment of ₹4448 debited from account,4448,merchant,safe
Transaction successful. Ref ID generated,3113,bank,safe
Payment of ₹2039 debited from account,2039,bank,safe
₹2273 received via UPI,2273,merchant,safe
Money received from Priya,2236,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,35210,unknown,scam
Payment of ₹4107 debited from account,4107,bank,safe
Transaction successful. Ref ID generated,3243,bank,safe
UPI reward pending. Click to receive,16672,unknown,scam
UPI reward pending. Click to receive,2306,unknown,scam
Money received from Rahul,3044,merchant,safe
₹853 received via UPI,853,bank,safe
UPI payment of ₹2487 completed,2487,bank,safe
Payment of ₹2923 debited from account,2923,bank,safe
Payment of ₹490 debited from account,490,merchant,safe
UPI reward pending. Click to receive,2248,unknown,scam
KYC expired. Update details to avoid UPI suspension,45055,unknown,scam
Payment reversal failed. Act immediately,34258,unknown,scam
UPI reward pending. Click to receive,45236,unknown,scam
₹3828 received via UPI,3828,bank,safe
Paid ₹82 to merchant successfully,82,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,41851,unknown,scam
Transaction successful. Ref ID generated,2791,bank,safe
UPI payment of ₹1952 completed,1952,merchant,safe
Transaction successful. Ref ID generated,419,bank,safe
Your UPI account is temporarily blocked. Verify immediately,32219,unknown,scam
Payment of ₹4232 debited from account,4232,merchant,safe
UPI payment of ₹4205 completed,4205,bank,safe
Refund failed. Click the link to re-initiate UPI payment,47743,unknown,scam
Payment of ₹856 debited from account,856,bank,safe
You have received cashback. Claim now,36545,unknown,scam
Paid ₹875 to merchant successfully,875,bank,safe
UPI reward pending. Click to receive,13689,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,26395,unknown,scam
Payment of ₹1891 debited from account,1891,bank,safe
KYC expired. Update details to avoid UPI suspension,39309,unknown,scam
